ats,slug,company_name,status,last_checked_at,last_successful_fetch_at,jobs_last_run,jobs_relevant_last_run,jobs_inserted_last_run,jobs_updated_last_run,jobs_irrelevant_last_run,jobs_partial_last_run,jobs_old_last_run,fetch_failed_last_run,yield_last_run,times_seen_empty,times_failed,last_relevant_at,runs_since_last_relevant,consecutive_fetch_failures,manually_disabled,scrape_tier,scrape_every_runs,bucket_last_run,last_error,provider,company,_existingjobsbysourceid
ashby,generalist,Generalist,auto,2026-04-15T13:56:27.785Z,2026-04-15T13:56:27.785Z,16,0,0,0,16,0,0,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Generalist,
ashby,generalrobotics,Generalrobotics,auto,2026-04-15T13:56:28.620Z,2026-04-15T13:56:28.620Z,6,1,0,1,5,0,0,false,0.167,0,0,2026-04-15T13:56:28.620Z,0,0,false,medium,1,productive,,ashby,Generalrobotics,
ashby,govdash,Govdash,auto,2026-04-15T13:56:29.090Z,2026-04-15T13:56:29.090Z,10,0,0,0,8,0,2,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Govdash,
ashby,GoVenti,GoVenti,auto,2026-04-15T13:56:30.224Z,2026-04-15T13:56:30.224Z,31,0,0,0,12,0,19,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,GoVenti,
ashby,GravityClimate,GravityClimate,auto,2026-04-15T13:56:30.801Z,2026-04-15T13:56:30.801Z,8,0,0,0,3,0,5,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,GravityClimate,
ashby,graymatter-robotics,Graymatter Robotics,auto,2026-04-15T13:56:31.603Z,2026-04-15T13:56:31.603Z,9,0,0,0,5,0,4,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Graymatter Robotics,
ashby,gritt,Gritt,auto,2026-04-15T13:56:32.326Z,2026-04-15T13:56:32.326Z,5,0,0,0,0,0,5,false,0.000,0,0,,2,0,false,low,2,old_only,,ashby,Gritt,
ashby,hadrian-automation,Hadrian Automation,auto,2026-04-15T13:56:33.258Z,2026-04-15T13:56:33.258Z,147,1,0,1,100,0,46,false,0.007,0,0,2026-04-15T13:56:33.258Z,0,0,false,low,2,productive,,ashby,Hadrian Automation,
ashby,happyrobot.ai,Happyrobot.Ai,auto,2026-04-15T13:56:35.783Z,2026-04-15T13:56:35.783Z,68,0,0,0,40,0,28,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Happyrobot.Ai,
ashby,harmattan-ai,Harmattan Ai,auto,2026-04-15T13:56:43.061Z,2026-04-15T13:56:43.061Z,96,45,0,45,43,0,8,false,0.469,0,0,2026-04-15T13:56:43.061Z,0,0,false,high,1,productive,,ashby,Harmattan Ai,
ashby,havocai,Havocai,auto,2026-04-15T13:56:45.058Z,2026-04-15T13:56:45.058Z,27,11,0,11,15,0,1,false,0.407,0,0,2026-04-15T13:56:45.058Z,0,0,false,medium,1,productive,,ashby,Havocai,
ashby,hcompany,Hcompany,auto,2026-04-15T13:56:45.203Z,2026-04-15T13:56:45.203Z,21,0,0,0,16,0,5,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Hcompany,
ashby,heyjobs,Heyjobs,auto,2026-04-15T13:56:45.486Z,2026-04-15T13:56:45.486Z,21,0,0,0,18,0,3,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Heyjobs,
ashby,impulse,Impulse,auto,2026-04-15T13:56:45.699Z,2026-04-15T13:56:45.699Z,2,0,0,0,1,0,1,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Impulse,
ashby,kiefer,Kiefer,auto,2026-04-15T13:56:46.168Z,2026-04-15T13:56:46.168Z,9,0,0,0,9,0,0,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Kiefer,
ashby,knowlix,Knowlix,auto,2026-04-15T13:56:46.939Z,2026-04-15T13:56:46.939Z,9,0,0,0,1,0,8,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Knowlix,
ashby,kodifly,Kodifly,auto,2026-04-15T13:56:47.463Z,2026-04-15T13:56:47.463Z,12,0,0,0,9,0,3,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Kodifly,
ashby,kraken.com,Kraken.Com,auto,2026-04-15T13:56:49.507Z,2026-04-15T13:56:49.507Z,141,0,0,0,119,0,22,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Kraken.Com,
ashby,langdock,Langdock,auto,2026-04-15T13:56:50.211Z,2026-04-15T13:56:50.211Z,5,0,0,0,5,0,0,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Langdock,
ashby,langfuse,Langfuse,auto,2026-04-15T13:56:50.471Z,2026-04-15T13:56:50.471Z,9,0,0,0,7,0,2,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Langfuse,
ashby,lat,Lat,auto,2026-04-15T13:56:51.254Z,2026-04-15T13:56:51.254Z,8,2,0,2,0,0,6,false,0.250,0,0,2026-04-15T13:56:51.254Z,0,0,false,medium,1,productive,,ashby,Lat,
ashby,letta,Letta,auto,2026-04-15T13:56:51.922Z,2026-04-15T13:56:51.922Z,5,0,0,0,0,0,5,false,0.000,0,0,,2,0,false,low,2,old_only,,ashby,Letta,
ashby,lightdash,Lightdash,auto,2026-04-15T13:56:52.410Z,2026-04-15T13:56:52.410Z,6,0,0,0,5,0,1,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Lightdash,
ashby,linqapp,Linqapp,auto,2026-04-15T13:56:53.298Z,2026-04-15T13:56:53.298Z,11,0,0,0,11,0,0,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Linqapp,
ashby,liquid-ai,Liquid Ai,auto,2026-04-15T13:56:54.295Z,2026-04-15T13:56:54.295Z,18,0,0,0,10,0,8,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Liquid Ai,
ashby,mach,Mach,auto,2026-04-15T13:56:58.561Z,2026-04-15T13:56:58.561Z,66,15,0,15,23,0,28,false,0.227,0,0,2026-04-15T13:56:58.561Z,0,0,false,medium,1,productive,,ashby,Mach,
ashby,maihem,Maihem,auto,2026-04-15T13:56:59.013Z,2026-04-15T13:56:59.013Z,0,0,0,0,0,0,0,false,0.000,5,0,,2,0,false,dead,999,empty,,ashby,Maihem,
ashby,marcohire,Marcohire,auto,2026-04-15T13:57:00.491Z,2026-04-15T13:57:00.491Z,8,4,0,4,3,0,1,false,0.500,0,0,2026-04-15T13:57:00.491Z,0,0,false,high,1,productive,,ashby,Marcohire,
ashby,matter-intelligence,Matter Intelligence,auto,2026-04-15T13:57:01.831Z,2026-04-15T13:57:01.831Z,14,3,0,3,11,0,0,false,0.214,0,0,2026-04-15T13:57:01.831Z,0,0,false,medium,1,productive,,ashby,Matter Intelligence,
ashby,mecka.ai,Mecka.Ai,auto,2026-04-15T13:57:03.070Z,2026-04-15T13:57:03.070Z,15,0,0,0,15,0,0,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Mecka.Ai,
ashby,mindrobotics,Mindrobotics,auto,2026-04-15T13:57:04.017Z,2026-04-15T13:57:04.017Z,6,0,0,0,6,0,0,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Mindrobotics,
ashby,mirai-robotics,Mirai Robotics,auto,2026-04-15T13:57:04.787Z,2026-04-15T13:57:04.787Z,4,3,0,3,0,0,1,false,0.750,0,0,2026-04-15T13:57:04.787Z,0,0,false,high,1,productive,,ashby,Mirai Robotics,
ashby,mirelo,Mirelo,auto,2026-04-15T13:57:05.285Z,2026-04-15T13:57:05.285Z,8,0,0,0,1,0,7,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Mirelo,
ashby,Molg,Molg,auto,2026-04-15T13:57:06.019Z,2026-04-15T13:57:06.019Z,11,0,0,0,11,0,0,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Molg,
ashby,monumental,Monumental,auto,2026-04-15T13:57:07.440Z,2026-04-15T13:57:07.440Z,26,0,0,0,16,0,10,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Monumental,
ashby,mosey,Mosey,auto,2026-04-15T13:57:08.122Z,2026-04-15T13:57:08.122Z,2,0,0,0,0,0,2,false,0.000,0,0,,2,0,false,low,2,old_only,,ashby,Mosey,
ashby,munich-electrification,Munich Electrification,auto,2026-04-15T13:57:09.342Z,2026-04-15T13:57:09.342Z,34,0,0,0,32,0,2,false,0.000,0,0,,2,0,false,low,2,irrelevant_only,,ashby,Munich Electrification,
