"ats","slug","company_name","status","last_checked_at","last_successful_fetch_at","jobs_last_run","jobs_relevant_last_run","jobs_inserted_last_run","jobs_updated_last_run","jobs_irrelevant_last_run","jobs_partial_last_run","jobs_old_last_run","fetch_failed_last_run","yield_last_run","times_seen_empty","times_failed","scrape_tier","scrape_every_runs","bucket_last_run","last_error","provider","company"
"ashby","pivotrobotics","Pivotrobotics","auto","2026-04-10T15:01:08.835Z","2026-04-10T15:01:08.835Z","3","0","0","0","2","0","1","false","0.000","0","0","low","2","irrelevant_only","","ashby","Pivotrobotics"
"ashby","point-one-navigation","Point One Navigation","auto","2026-04-10T15:01:09.285Z","2026-04-10T15:01:09.285Z","9","1","0","1","3","0","5","false","0.111","0","0","medium","1","productive","","ashby","Point One Navigation"
"ashby","poseidonaero","Poseidonaero","auto","2026-04-10T15:01:13.860Z","2026-04-10T15:01:13.860Z","14","5","5","0","9","0","0","false","0.357","0","0","medium","1","productive","","ashby","Poseidonaero"
"ashby","praxipal","Praxipal","auto","2026-04-10T15:01:14.238Z","2026-04-10T15:01:14.238Z","11","0","0","0","10","0","1","false","0.000","0","0","low","2","irrelevant_only","","ashby","Praxipal"
"ashby","PrimeIntellect","PrimeIntellect","auto","2026-04-10T15:01:15.291Z","2026-04-10T15:01:15.291Z","20","0","0","0","5","0","15","false","0.000","0","0","low","2","irrelevant_only","","ashby","PrimeIntellect"
"ashby","prior-labs","Prior Labs","auto","2026-04-10T15:01:15.771Z","2026-04-10T15:01:15.771Z","15","0","0","0","8","0","7","false","0.000","0","0","low","2","irrelevant_only","","ashby","Prior Labs"
"ashby","pylon-labs","Pylon Labs","auto","2026-04-10T15:01:16.131Z","2026-04-10T15:01:16.131Z","30","0","0","0","14","0","16","false","0.000","0","0","low","2","irrelevant_only","","ashby","Pylon Labs"
"ashby","quartermaster","Quartermaster","auto","2026-04-10T15:01:16.363Z","2026-04-10T15:01:16.363Z","23","0","0","0","18","0","5","false","0.000","0","0","low","2","irrelevant_only","","ashby","Quartermaster"
"ashby","quilter","Quilter","auto","2026-04-10T15:01:16.567Z","2026-04-10T15:01:16.567Z","5","0","0","0","3","0","2","false","0.000","0","0","low","2","irrelevant_only","","ashby","Quilter"
"ashby","rabot","Rabot","auto","2026-04-10T15:01:16.782Z","2026-04-10T15:01:16.782Z","6","0","0","0","6","0","0","false","0.000","0","0","low","2","irrelevant_only","","ashby","Rabot"
"ashby","radiant-industries","Radiant Industries","auto","2026-04-10T15:01:17.164Z","2026-04-10T15:01:17.164Z","86","0","0","0","60","0","26","false","0.000","0","0","low","2","irrelevant_only","","ashby","Radiant Industries"
"ashby","realmalliance","Realmalliance","auto","2026-04-10T15:01:18.021Z","2026-04-10T15:01:18.021Z","7","4","0","4","1","0","2","false","0.571","0","0","high","1","productive","","ashby","Realmalliance"
"ashby","red6","Red6","auto","2026-04-10T15:01:18.254Z","2026-04-10T15:01:18.254Z","17","0","0","0","14","0","3","false","0.000","0","0","low","2","irrelevant_only","","ashby","Red6"
"ashby","reflect-orbital","Reflect Orbital","auto","2026-04-10T15:01:18.511Z","2026-04-10T15:01:18.511Z","19","0","0","0","2","0","17","false","0.000","0","0","low","2","irrelevant_only","","ashby","Reflect Orbital"
"ashby","ReflexRobotics","ReflexRobotics","auto","2026-04-10T15:01:19.042Z","2026-04-10T15:01:19.042Z","6","0","0","0","1","0","5","false","0.000","0","0","low","2","irrelevant_only","","ashby","ReflexRobotics"
"ashby","reliable-robotics","Reliable Robotics","auto","2026-04-10T15:01:20.926Z","2026-04-10T15:01:20.926Z","60","9","0","9","43","0","8","false","0.150","0","0","medium","1","productive","","ashby","Reliable Robotics"
"ashby","rhoda-ai","Rhoda Ai","auto","2026-04-10T15:01:21.148Z","2026-04-10T15:01:21.148Z","16","0","0","0","16","0","0","false","0.000","0","0","low","2","irrelevant_only","","ashby","Rhoda Ai"
"ashby","Ridealso","Ridealso","auto","2026-04-10T15:01:25.043Z","2026-04-10T15:01:25.043Z","77","0","0","0","65","0","12","false","0.000","0","0","low","2","irrelevant_only","","ashby","Ridealso"
"ashby","robco","Robco","auto","2026-04-10T15:01:25.309Z","2026-04-10T15:01:25.309Z","38","0","0","0","38","0","0","false","0.000","0","0","low","2","irrelevant_only","","ashby","Robco"
"ashby","robin-radar","Robin Radar","auto","2026-04-10T15:01:28.858Z","2026-04-10T15:01:28.858Z","24","19","0","19","3","0","2","false","0.792","0","0","high","1","productive","","ashby","Robin Radar"
"ashby","robot-learning-co","Robot Learning Co","auto","2026-04-10T15:01:28.877Z","2026-04-10T15:01:28.877Z","0","0","0","0","0","0","0","false","0.000","2","0","dead","999","empty","","ashby","Robot Learning Co"
"ashby","Scale Army Careers","Scale Army Careers","auto","2026-04-10T15:01:34.285Z","2026-04-10T15:01:34.285Z","107","0","0","0","99","0","8","false","0.000","0","0","low","2","irrelevant_only","","ashby","Scale Army Careers"
"ashby","se3","Se3","auto","2026-04-10T15:01:36.705Z","2026-04-10T15:01:36.705Z","12","5","0","5","1","0","6","false","0.417","0","0","medium","1","productive","","ashby","Se3"
"ashby","seneca","Seneca","auto","2026-04-10T15:01:37.782Z","2026-04-10T15:01:37.782Z","11","0","0","0","0","0","11","false","0.000","0","0","low","2","old_only","","ashby","Seneca"
"ashby","sensmore","Sensmore","auto","2026-04-10T15:01:38.366Z","2026-04-10T15:01:38.366Z","8","0","0","0","6","0","2","false","0.000","0","0","low","2","irrelevant_only","","ashby","Sensmore"
"ashby","sentinel-eagle","Sentinel Eagle","auto","2026-04-10T15:01:39.816Z","2026-04-10T15:01:39.816Z","3","1","0","1","2","0","0","false","0.333","0","0","medium","1","productive","","ashby","Sentinel Eagle"
"ashby","sereact","Sereact","auto","2026-04-10T15:01:40.031Z","2026-04-10T15:01:40.031Z","30","0","0","0","29","0","1","false","0.000","0","0","low","2","irrelevant_only","","ashby","Sereact"
"ashby","serverobotics","Serverobotics","auto","2026-04-10T15:01:42.859Z","2026-04-10T15:01:42.859Z","58","1","0","1","47","0","10","false","0.017","0","0","low","2","productive","","ashby","Serverobotics"
"ashby","sesame","Sesame","auto","2026-04-10T15:01:45.348Z","2026-04-10T15:01:45.348Z","29","0","0","0","13","0","16","false","0.000","0","0","low","2","irrelevant_only","","ashby","Sesame"
"ashby","sfcompute","Sfcompute","auto","2026-04-10T15:01:46.618Z","2026-04-10T15:01:46.618Z","14","0","0","0","11","0","3","false","0.000","0","0","low","2","irrelevant_only","","ashby","Sfcompute"
